"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2020-08-21","true","398","B0762PS6DN","2","I dislike the way the package was put together. The boxes for the toothpaste itself is bent and crushed up. Not presentable  at all.","https://images-na.ssl-images-amazon.com/images/I/71dOTabKWpL._SY88.jpg","https://images-na.ssl-images-amazon.com/images/I/81tzkuNfXDL._SY88.jpg",,,,"One person found this helpful","Disappointed","https://www.amazon.com/gp/customer-reviews/R246D2OGGEO0D3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on August 21, 2020",""
"United States","🇺🇸","2020-01-02","true","399","B0762PS6DN","5","Good",,,,,,"","Value","https://www.amazon.com/gp/customer-reviews/R1UJNQ8BSFM67U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on January 2, 2020",""
"United States","🇺🇸","2019-06-02","true","400","B0762PS6DN","5","Excellent purchase and necessary.",,,,,,"","Highly recommend","https://www.amazon.com/gp/customer-reviews/RNTI62YKUTIZK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on June 2, 2019",""
"United States",,"2019-03-27","true","421","B0762PS6DN","5","I love these toothpaste.",,,,,,"","Great taste","https://www.amazon.com/gp/customer-reviews/R3H5NYO7ZDNOPT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on March 27, 2019",""
"United States",,"2019-03-27","true","422","B0762PS6DN","5","pleased with the purchase",,,,,,"","Good value","https://www.amazon.com/gp/customer-reviews/RNJ7OTMPF9LNN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on March 27, 2019",""
"United States",,"2019-09-21","true","423","B0762PS6DN","5","great",,,,,,"","Great","https://www.amazon.com/gp/customer-reviews/R2GE0ZZF20BKEV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on September 21, 2019",""
"United States",,"2019-07-24","true","424","B0762PS6DN","5","Works great",,,,,,"","Works","https://www.amazon.com/gp/customer-reviews/RVMJAQLHPFHNH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on July 24, 2019",""
"United States",,"2019-05-05","true","425","B0762PS6DN","5","Works for me",,,,,,"","Works for me","https://www.amazon.com/gp/customer-reviews/R3N98GGS1SZI13/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on May 5, 2019",""
"United States",,"2020-01-24","true","426","B0762PS6DN","1","I did not like this product much at all. It had a very weird flavor that wasn’t appealing and ended up making my mouth taste and smell funny. The toothpaste also got very runny and watery and didn’t seem to clean my teeth very well. I got this product to help with my sensitive teeth and I really didn’t notice any difference after using 2/3 of the tubes.",,,,,,"12 people found this helpful","Didn’t help my sensitive teeth","https://www.amazon.com/gp/customer-reviews/RJLS95UF369CO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on January 24, 2020",""
"United States",,"2022-02-18","true","427","B0762PS6DN","1","I had a poor quality control experience with this product. I've tried to detail why, but Amazon denied my review. I will be avoiding purchasing this product online in the future.",,,,,,"","Poor experience - I don't recommend purchasing this","https://www.amazon.com/gp/customer-reviews/R1P2XFZ70NOO1V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on February 18, 2022",""
"United States",,"2019-03-11","true","428","B0762PS6DN","5","Perfect gatta order more",,,,,,"","Perfect","https://www.amazon.com/gp/customer-reviews/R3NMETZ5EPTYZ6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on March 11, 2019",""
"United States",,"2019-07-25","true","429","B0762PS6DN","5","Excellent",,,,,,"","Excellent","https://www.amazon.com/gp/customer-reviews/R1PVHGILP4BV1J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on July 25, 2019",""
"United States",,"2019-07-19","true","430","B0762PS6DN","5","Great",,,,,,"","Love it","https://www.amazon.com/gp/customer-reviews/RD0C956I0IHVO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on July 19, 2019",""
"United States","🇺🇸","2017-06-08","true","481","B0762PS6DN","5","My favorite toothpaste and hubbies also.",,,,,,"","Five Stars","https://www.amazon.com/gp/customer-reviews/R2XD1OQS8KMHR0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on June 8, 2017",""
"United States","🇺🇸","2019-12-02","true","482","B0762PS6DN","1","Does not provide enough cleaning power. My fillings and between my tooth became discolored/brownish after using this for about a month. I wanted to avoid 'extra whitening' version because it causes sensitivity, but I will gladly take sensitivity over discoloration!!! This product should be removed from shelves.",,,,,,"2 people found this helpful","AVOID, causes discoloration! Product should be removed from shelves.","https://www.amazon.com/gp/customer-reviews/R3KB32UPCUIP67/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on December 2, 2019",""
"United States","🇺🇸","2022-04-10","true","483","B0762PS6DN","1","The tube was split inside the box.  We should get a refund.",,,,,,"","Tube split","https://www.amazon.com/gp/customer-reviews/R23M7BVMGNR87X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on April 10, 2022",""
"United States","🇺🇸","2020-06-25","true","484","B0762PS6DN","2","For the price tooo small",,,,,,"One person found this helpful","Don’t like","https://www.amazon.com/gp/customer-reviews/RGQI12M9Z2F79/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on June 25, 2020",""
"United States","🇺🇸","2020-05-11","true","485","B0762PS6DN","1","This was to be a package of 3 and there was only one tube of toothpaste in the package.  How can I get the other 2 tubes??",,,,,,"14 people found this helpful","Very disappointed!","https://www.amazon.com/gp/customer-reviews/R2XEA532VEBAW3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on May 11, 2020",""
"United States","🇺🇸","2020-10-29","true","486","B0762PS6DN","1","All three tubes burst along the side in the same spot shortly after opening. There were no rips in the cardboard packaging indicating they had been cut open with a knife, so it must be faulty packaging.",,,,,,"","All 3 tubes were faulty","https://www.amazon.com/gp/customer-reviews/R2RVE5147U7R6I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on October 29, 2020",""
"United States","🇺🇸","2020-04-11","true","487","B0762PS6DN","1","I received one NOT 3. AVOID this scam!  I would attach a picture but it will not allow me to.  The one tube is not even sealed in plastic and looks like it has been opened.  AVOID THIS SCAM!",,,,,,"","There was supposed to be 3 in the pack","https://www.amazon.com/gp/customer-reviews/R1NVTZP94CR5MT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on April 11, 2020",""
"United States","🇺🇸","2020-06-01","true","488","B0762PS6DN","1","My order is for  ""Sensodyne Pronamel Daily Protection Enamel Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Mint Essence - 4 Ounces (Pack of 3)"" I received just one pack and with an opened box!!Please return my money.","https://images-na.ssl-images-amazon.com/images/I/41IVKUDYYbL._SY88.jpg",,,,,"","To Get my money back","https://www.amazon.com/gp/customer-reviews/R22P90PIZOITYV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on June 1, 2020",""
"United States","🇺🇸","2022-03-03","true","489","B0762PS6DN","1","This is one tube of toothpaste for $17 not three tubes",,,,,,"","This is one tube of toothpaste for $17 not three tubes","https://www.amazon.com/gp/customer-reviews/R321DYNYJERJYN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on March 3, 2022",""
"United States","🇺🇸","2021-10-15","true","490","B0762PS6DN","1","This is very likely counterfeit, the color and packaging is completely different. Taste is way off. Avoid this product.",,,,,,"","Counterfeit Product","https://www.amazon.com/gp/customer-reviews/R28Y7KJHI6LO7W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on October 15, 2021",""
"United States",,"2023-01-06","true","21","B0762PS6DN","5","Everything is good.",,,,,,"","Great product","https://www.amazon.com/gp/customer-reviews/RTWV7PIM0UQ9A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on January 6, 2023",""
"United States",,"2020-07-19","true","22","B0762PS6DN","5","I love this product. I have dens evaginatus which basically causes my tooth to have an extra cusp (teeth normally have 4 - I have 5) in the middle. Chewing wore it down so badly that I had to get a root canal. I started using this toothpaste to prevent the condition from happening to my other back teeth. The effects are not immediate and it's not like a magic moment, but I've been using it for several months now and I can definitely say that my teeth feel healthier and stronger. I had these blackish marks on the tops (maybe beginning of a cavity?) that are now gone. It works amazing. I got my boyfriend hooked on it too.Compare to other toothpaste, the price is a lot more but so is the quality. I would say worth it on that one. The packaging, however, sucks. The first tube I had split very easily so instead of using it from the hole at the top like you're supposed to, I was swiping it down the split. It was effective and easy but idt it was meant to be used like that lol.Overall I think it does the job really well going so far as to say that it changed my teeth and is most definitely worth trying at least once (once being one whole tube).",,,,,,"7 people found this helpful","Game-changing","https://www.amazon.com/gp/customer-reviews/RWZOJCWH1LFKB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on July 19, 2020",""
"United States",,"2023-01-13","true","23","B0762PS6DN","3","Good stuff been using g it si ce it pretty much came out.",,,,,,"","Pretty good","https://www.amazon.com/gp/customer-reviews/RQL9V5XA9QEH1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on January 13, 2023",""
"United States",,"2021-05-06","true","24","B0762PS6DN","5","I started using this product several years ago after hearing from my dentist that I had soft teeth. I knew enough that he meant the enamel was weak and decided I would do what I could to strengthen it. Prior to that time, I had multiple issues with my teeth with regular visits to his office for treatment.Started using Pronamel and my dental visits became more infrequent. I finally started having teeth cleaning check ups where they found no new cavities.Some damage had already been done but I believe that Pronamel slowed that damage considerably and may have even stopped it. I can say this because I used other toothpastes in the past and the change occurred when I switched to Pronamel.This product costs more that the average toothpaste but it seems to be offering the advantage of having harder teeth and fewer visits to the dentist.I don't think this product whitens very much which is OK as most toothpastes don't whiten nearly as much as they claim anyway.",,,,,,"12 people found this helpful","Performs its most important function","https://www.amazon.com/gp/customer-reviews/REXAF25DZJ7YZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on May 6, 2021",""
"United States",,"2022-07-24","true","25","B0762PS6DN","4","This has really helped my the sensitivity of my teeth, but the taste is not the best.",,,,,,"","Reduces sensitivity but taste is not the best","https://www.amazon.com/gp/customer-reviews/RIE7ETPB49M60/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on July 24, 2022",""
"United States",,"2022-07-12","true","26","B0762PS6DN","4","The toothpaste tubes were fine inside packaging that was crushed during shipment.",,,,,,"","Crushed packaging","https://www.amazon.com/gp/customer-reviews/R2Y8LHQ9H4JMNM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on July 12, 2022",""
"United States",,"2022-12-04","true","27","B0762PS6DN","3","The offer is for three (3) tubes but it arrives with only one tube. A disappointment to say the least.",,,,,,"","Bait and switch","https://www.amazon.com/gp/customer-reviews/R3POB3TRM80ZQU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on December 4, 2022",""
"United States",,"2022-09-18","true","28","B0762PS6DN","5","The product is good but prices vary, found this to be the best place for price without the whitening, which is what I prefer.",,,,,,"","price is comparable","https://www.amazon.com/gp/customer-reviews/R1MC7E1E4V6XDQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on September 18, 2022",""
"United States",,"2022-09-17","true","29","B0762PS6DN","5","This is the toothpaste our dentist recommended. Sometimes it is hard to find in stores near us so I order from Amazon.",,,,,,"","Our favorite toothpaste","https://www.amazon.com/gp/customer-reviews/R1D9TC0FEL08W7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on September 17, 2022",""
"United States",,"2018-07-04","true","30","B0762PS6DN","5","I've used Pronamel--in one form or another--since it was introduced, but Daily Protection Mint Essence is my favorite.First, it doesn't leave any white residue on my lips, which is a problem I've had with other toothpastes. Second, it has a mild flavor and leaves a pleasant taste in my mouth. Other toothpastes, including other versions of Pronamel, can be so strong that the cool, minty/fresh flavor is so overwhelming that you can't drink or eat anything a half-hour or even an hour or more later without tasting nothing but toothpaste.But does it do anything for your enamel? Well, I'm no expert. What I am is addicted to soda, which is why I started using this. About 8 years into my usage of this toothpaste, I started going to a new dentist. He actually marveled at how great my enamel looked. I, of course, didn't tell him about my soda habit.In terms of guarding against sensitivity, this toothpaste is fairly helpful. I do have a couple of trouble spots, however, that this toothpaste does not help.I wouldn't use this toothpaste as an excuse to be harsh on your teeth, but I'm quite pleased with it! When my local retailer stopped carrying it, I tried to make do with a couple of different Pronamel variations, but I did not care for them and will continue to buy Mint Essence online!",,,,,,"10 people found this helpful","Mint Essence is the best!","https://www.amazon.com/gp/customer-reviews/R3U2MUXVHNJ037/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on July 4, 2018",""
"United States","🇺🇸","2021-09-02","true","641","B0762PS6DN","5","A Great Toothpaste👏👏Pro-Enamel Toothpaste👍👍Size Perfect 👍",,,,,,"","A Lovely Toothpaste😊","https://www.amazon.com/gp/customer-reviews/RYDBWKI45IOP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on September 2, 2021",""
"United States","🇺🇸","2022-11-11","true","642","B0762PS6DN","5","I've been using this tooth paste for a while now and I really like it.",,,,,,"","Well worth the money!","https://www.amazon.com/gp/customer-reviews/RY7E6J8PVI60F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on November 11, 2022",""
"United States","🇺🇸","2021-11-20","true","643","B0762PS6DN","5","This was suggested by my dentist and really helps my sensitive teeth.  It doesn't have whitening and that is good for me.  I like that I have a choice on what kind of Sensodyne toothpaste I need.",,,,,,"","Sensodyne Daily protection toothpaste really helps my sensitive teeth.","https://www.amazon.com/gp/customer-reviews/R2NONNWY0YD4VR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on November 20, 2021",""
"United States","🇺🇸","2021-04-20","true","644","B0762PS6DN","4","And it works better than Colgate. Just a bit more pricy.",,,,,,"","less sensitive!","https://www.amazon.com/gp/customer-reviews/R1NUJD3F9ULB80/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on April 20, 2021",""
"United States","🇺🇸","2020-11-14","true","645","B0762PS6DN","4","it has a slight medicinal taste to it.  I first tried this product earlier this year - it had a blue label and was pleasant tasting.  I eventually ran out of it and bought this product with the green label.  Ya, I know.  I should have been more particular in looking at the labels.  But, I wasn't and thought that the flavor would be fine.  However, I was so wrong.  It's not awful, but not pleasant either.  I'm sure it works just fine regardless of what I think of the flavor.",,,,,,"","Works great but...","https://www.amazon.com/gp/customer-reviews/R2F3M1GR98U6UQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on November 14, 2020",""
"United States","🇺🇸","2023-01-17","true","646","B0762PS6DN","5","I don't use anything else!",,,,,,"","Great Purchase","https://www.amazon.com/gp/customer-reviews/R2B8CZS2HYG0A7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on January 17, 2023",""
"United States","🇺🇸","2022-10-20","true","647","B0762PS6DN","5","Flavor is good, less 'salty' than the classic variety, generally good compared to many other sensitive tooth toothpaste brands.",,,,,,"","Defacto sensitive tooth toothpaste","https://www.amazon.com/gp/customer-reviews/RZQF2X3Q71NVF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on October 20, 2022",""
"United States","🇺🇸","2021-02-19","true","648","B0762PS6DN","5","I’m allergic to whitening toothpastes (they make my mouth skin peel off) and this one does not make my mouth skin peel off so I am happy. Also tastes better than most. And the packaging is good so the tip of the tube doesn’t get all gross.",,,,,,"","Whee","https://www.amazon.com/gp/customer-reviews/R2SIK4TJ7BGADS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on February 19, 2021",""
"United States","🇺🇸","2021-11-17","true","649","B0762PS6DN","5","This enamel building toothpaste was suggested by my dentist, because I am 81 yrs. old and my gums have receided and enamel need strengthening, to keep my teeth.I notice a difference in about two days after using this toothpaste, that my soreness around the loss of enamel, has gone away.  I love it and continue to use it it is a great product.  Taste good too.One hint dentist suggested not wetting the toothbrush before apply paste, and do not rinse mouth.This protects the ability to do the paste job.Enjoy and keep your teeth",,,,,,"","Suggested by my dentist","https://www.amazon.com/gp/customer-reviews/R2U9KBXQGVOT62/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on November 17, 2021",""
"United States","🇺🇸","2022-08-26","true","650","B0762PS6DN","5","Mis dientes eran sensibles antes desde q uso esta pasta ya no",,,,,,"","El sabor es refrescante","https://www.amazon.com/gp/customer-reviews/R3P5NIPT5IOE5A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on August 26, 2022",""
"United States",,"2018-12-13","true","461","B0762PS6DN","5","Great value!",,,,,,"","Great!","https://www.amazon.com/gp/customer-reviews/R187893J9VX1UY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on December 13, 2018",""
"United States",,"2018-12-09","true","462","B0762PS6DN","5","Brushy brushy",,,,,,"","My only brand","https://www.amazon.com/gp/customer-reviews/R2I08YRYKSQUQX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on December 9, 2018",""
"United States",,"2018-08-14","true","463","B0762PS6DN","5","It's tooth paste. Lol",,,,,,"","Is what is.","https://www.amazon.com/gp/customer-reviews/RKUAKDJA54JO7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on August 14, 2018",""
"United States",,"2019-07-12","true","464","B0762PS6DN","2","This as supposed to be a package of 3, but I only received one.  I do really like the product, but not the service.",,,,,,"One person found this helpful","ordered 3, received 1","https://www.amazon.com/gp/customer-reviews/R4FAXOINOT6YC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on July 12, 2019",""
"United States",,"2018-11-18","true","465","B0762PS6DN","5","Great toothpaste",,,,,,"","Great","https://www.amazon.com/gp/customer-reviews/R3PTUH1B6GFLDA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on November 18, 2018",""
"United States",,"2022-03-15","true","466","B0762PS6DN","1","Product isn’t the original. Label looks different in person and the price was too good to be true. Will not buy again.",,,,,,"","Un original ?","https://www.amazon.com/gp/customer-reviews/R3ODDM2FCKF9RC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on March 15, 2022",""
