"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2022-11-15","false","94","B095Z5PKDJ","5","I have had BMS (Burning Mouth Syndrome) for over 10 years. Both my tongue and teeth have been the main problem. For some reason my bottom teeth have always been so painful and I have seen several doctors and dentist with no relief at all. I usually use the regular Sensodyne but it never gave me full relief. This one somehow magically decreased the pain in my teeth about 80% which is huge to me! Years after pain this seems to be the only thing that has helped in anyway for me. Im very happy I decided to give it a try.",,,,,"","Works Wonderfully","https://www.amazon.com/gp/customer-reviews/R3UYGKR63YMDI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on November 15, 2022",""
"United States","🇺🇸","2022-10-02","true","95","B095Z5PKDJ","1","","https://m.media-amazon.com/images/I/71wgga1VZTL._SY88.jpg",,,,"","Did not receive the toothpaste shown in the photos","https://www.amazon.com/gp/customer-reviews/R3SK46TEZ7EKIE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on October 2, 2022",""
"United States","🇺🇸","2022-08-31","false","96","B095Z5PKDJ","4","Great bang for the buck!",,,,,"","Header","https://www.amazon.com/gp/customer-reviews/RF58Z4BKNBXJL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on August 31, 2022",""
"United States","🇺🇸","2022-11-09","false","97","B095Z5PKDJ","5","I tried many different toothpastes and this one is the best for my sensitive teeth. I'll stick to this one for a long time.",,,,,"","Best toothpast for sensitive teeth","https://www.amazon.com/gp/customer-reviews/R16NM9QL8U059P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on November 9, 2022",""
"United States","🇺🇸","2023-01-08","false","98","B095Z5PKDJ","3","I haven't felt the effect yet. After using it for the second day, I hope it can solve the problem of my teeth being sore and soft. I hope it will be easy to use. After all, buying five is a bit much.  I bought this brand before and it was very good. I don’t know if this function is helpful to the teeth.",,,,,"","hope it works well","https://www.amazon.com/gp/customer-reviews/RPP1L3T73V5ZH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on January 8, 2023",""
"United States","🇺🇸","2023-01-02","false","99","B095Z5PKDJ","3","I'm not sure if this toothpaste works as it advertised but it's definitely on the expensiver side. The tube is basically half size of most toothpaste on the market...it sits perfectly on a kids palm! Flavor side it's not bad, and the paste itself is pretty dense. I'm not sure if it's worth paying ~$24 for 4 kiddie tube size, but I'll see if it works as it advertised.",,,,,"","On the expensive side","https://www.amazon.com/gp/customer-reviews/R2FOS95E7UMC73/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on January 2, 2023",""
"United States","🇺🇸","2022-10-18","false","100","B095Z5PKDJ","5","I did not realize I had ordered this, but I have really like it.  Feel it has done my gums a lot of good.",,,,,"","Hood for my gums!","https://www.amazon.com/gp/customer-reviews/R1M5LLSHNRU2HY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on October 18, 2022",""
"United States",,"2021-09-01","true","171","B095Z5PKDJ","5","like the taste.thy",,,,,"","good","https://www.amazon.com/gp/customer-reviews/R3VU4115MJGZ36/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on September 1, 2021",""
"United States",,"2022-05-07","true","172","B095Z5PKDJ","5","Been using for years!",,,,,"","Works just fine","https://www.amazon.com/gp/customer-reviews/R2OOLNVW1IGFDR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on May 7, 2022",""
"United States",,"2021-12-23","true","173","B095Z5PKDJ","5","My gums bled while brushing and these said for sensitive gums. Personally these work for me.",,,,,"","It's been working for my gums.","https://www.amazon.com/gp/customer-reviews/R1R9VMK40MSOGK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on December 23, 2021",""
"United States",,"2021-11-05","true","174","B095Z5PKDJ","5","Muy buenas y efectivas",,,,,"","Buenísimas","https://www.amazon.com/gp/customer-reviews/R240Q1PVB6UNG6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on November 5, 2021",""
"United States",,"2021-11-04","true","175","B095Z5PKDJ","5","Works and tastes authentic","https://m.media-amazon.com/images/I/71FuhfCxYYL._SY88.jpg",,,,"","As advertised, but does not say where it was manufactured","https://www.amazon.com/gp/customer-reviews/RQMFZ5RIK1N8N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on November 4, 2021",""
"United States",,"2021-11-07","true","176","B095Z5PKDJ","5","Great value for the money",,,,,"","Great value","https://www.amazon.com/gp/customer-reviews/R22HMKHNCLYOH7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on November 7, 2021",""
"United States",,"2022-03-16","true","177","B095Z5PKDJ","5","Great",,,,,"","Favorite toothpaste","https://www.amazon.com/gp/customer-reviews/R3KT3787N73V4L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on March 16, 2022",""
"United States",,"2021-09-12","true","178","B095Z5PKDJ","5","The new flavor is great. Also this pack of 4 is a great value.",,,,,"","No whitening but the flavor is amazing great value for 4 tubes.","https://www.amazon.com/gp/customer-reviews/R2PCE8N71X4BVW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on September 12, 2021",""
"United States",,"2022-11-21","true","179","B095Z5PKDJ","5","Picked up a sample of this product from the dentist office.  Liked it and ordered it.",,,,,"One person found this helpful","Helps with gum sensitivity","https://www.amazon.com/gp/customer-reviews/R1WIRWV6R5ZYAV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on November 21, 2022",""
"United States",,"2022-03-18","true","180","B095Z5PKDJ","5","Very helpful with people who have problems with their gums. After using I’ve noticed a great improvement. For using this for the first time I give it thumbs up!",,,,,"6 people found this helpful","Helpful for your gums","https://www.amazon.com/gp/customer-reviews/R3SXQHCWCSG6RM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on March 18, 2022",""
"United States",,"2021-11-30","true","71","B095Z5PKDJ","5","Buen sabor me gusta mucho.",,,,,"","Buena frescura","https://www.amazon.com/gp/customer-reviews/R2OOH7N3PYHU7D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on November 30, 2021",""
"United States",,"2022-07-27","true","72","B095Z5PKDJ","2","Really sad. I tried it several time but each time it gave the same painful result, which I need a few weeks to recover from.",,,,,"2 people found this helpful","Caused my gum tissue to be swollen and painful","https://www.amazon.com/gp/customer-reviews/R19PJC3AKAL1SA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on July 27, 2022",""
"United States",,"2021-10-17","true","73","B095Z5PKDJ","5","I have no time for this",,,,,"","Value for the Money","https://www.amazon.com/gp/customer-reviews/R2AASQRWC6DEMY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on October 17, 2021",""
"United States",,"2021-08-08","true","74","B095Z5PKDJ","5","Cant beat the price!",,,,,"","Satisfied","https://www.amazon.com/gp/customer-reviews/R3GYC1OM2WNUWK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on August 8, 2021",""
"United States",,"2022-12-14","true","75","B095Z5PKDJ","1","The toothpaste had a weird brown tint to it and did not smell right. Had another tube I got from Walmart and the one from amazon is either bad or a rip off. Do not buy.",,,,,"","Terrible toothpaste","https://www.amazon.com/gp/customer-reviews/RTATG63R0GLWV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on December 14, 2022",""
"United States",,"2022-12-09","true","76","B095Z5PKDJ","1","I am EXTREMELY disappointed in Amazon regarding this transaction.  I have disputed the charge with my credit card company.  Product is great, but will buy elsewhere since Amazon could not fill requirement.",,,,,"","never received item and Amazon would not cancel item","https://www.amazon.com/gp/customer-reviews/R1I3H1Y2UH304W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on December 9, 2022",""
"United States",,"2023-02-07","false","77","B095Z5PKDJ","4","My dentist told me to use it. So far so good.",,,,,"","good reputation","https://www.amazon.com/gp/customer-reviews/R34LKD393E6AEN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on February 7, 2023",""
"United States",,"2023-01-14","false","78","B095Z5PKDJ","4","Bought this for my sensitive teeth, it has helped stop the bleeding, but not yet worked for my sensitivity to sour and cold. Will continue to use it more time to see if it would function as described.",,,,,"","Worth a try","https://www.amazon.com/gp/customer-reviews/R1TBS9Y6TWLBGR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on January 14, 2023",""
"United States",,"2023-01-14","false","79","B095Z5PKDJ","4","the very few brand that my daughter like",,,,,"","brand that my daughter like","https://www.amazon.com/gp/customer-reviews/R2LYSMWYXGX2N3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on January 14, 2023",""
"United States",,"2023-04-05","false","80","B095Z5PKDJ","5","This is a great pack to order for such a great deal. I've been using this toothpaste for years now and highly recommend it. The tubes are all brand new and sealed so you can definitely trust it.",,,,,"","Value for the Money","https://www.amazon.com/gp/customer-reviews/R2NZ81W3H6R7PR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on April 5, 2023",""
"United States",,"2022-11-19","true","191","B095Z5PKDJ","5","Glad to receive multiple tubes of toothpaste at lower cost than buying in the store. Dentist recommended this toothpaste as my teeth are now sensitive.",,,,,"","Correct product delivered on time.","https://www.amazon.com/gp/customer-reviews/RVE7ECZMOFWPB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on November 19, 2022",""
"United States",,"2022-11-01","true","192","B095Z5PKDJ","5","Does the job well and always keep gums from getting sore. Also, it is very comfortable to use.Very satisfied with this toothpaste.",,,,,"","Great product for your teeth","https://www.amazon.com/gp/customer-reviews/R3TIO78YUPCD3J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on November 1, 2022",""
"United States",,"2022-10-09","true","193","B095Z5PKDJ","5","It’s good value for what you’re getting. It’s good quality and our dentist recommended it to us so we like it.",,,,,"One person found this helpful","We love sendodyne!","https://www.amazon.com/gp/customer-reviews/R3ETJKSJXEEG01/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on October 9, 2022",""
"United States",,"2022-09-12","true","194","B095Z5PKDJ","5","good Sensodyne Toothpaste",,,,,"2 people found this helpful","good Sensodyne Toothpaste","https://www.amazon.com/gp/customer-reviews/R29C2JY48CASVC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on September 12, 2022",""
"United States",,"2022-03-17","true","195","B095Z5PKDJ","5","If you have sensitive teeth, this is a product. It whitens pretty well.",,,,,"","Great value for the money","https://www.amazon.com/gp/customer-reviews/R23IR6MQ93HY98/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on March 17, 2022",""
"United States",,"2023-03-29","true","196","B095Z5PKDJ","5","I bought this tooth paste for my son whose a smoker. But then decided to try it for myself and I love the way it made my teeth feel after using it. My mouth felt so clean and fresh. And it wasn’t expensive great value . Will continue using it unless I find something better but right now this is the go to toothpaste for my family..",,,,,"One person found this helpful","Great tooth paste for smokers and non smokers","https://www.amazon.com/gp/customer-reviews/RTR78YLD6CKS5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on March 29, 2023",""
"United States",,"2022-05-21","true","197","B095Z5PKDJ","5","If your teeth are as sensitive as mine with spots of gum recession, be 100% prepared using this toothpaste will hurt like crazy at first. However, that means it's working. If you can bear it, each time you brush gets a little less painful. It's not fun at first, but it works, it works, it works. I haven't noticed whether or not it's whitening as well, but I already have fairly white teeth, so it's hard to tell.",,,,,"7 people found this helpful","Excellent product that helps very sensitive teeth","https://www.amazon.com/gp/customer-reviews/R3EXVC3Z73U180/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on May 21, 2022",""
"United States",,"2022-10-30","false","198","B095Z5PKDJ","5","We love this. Is very good product fpr sensitivity and also makes your teeth pretty clean",,,,,"","Good for sensitive","https://www.amazon.com/gp/customer-reviews/R300O7445KQZ5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on October 30, 2022",""
"United States",,"2022-01-27","true","199","B095Z5PKDJ","5","It has a real nice taste. Not minty like some.  My mouth feels so refreshed after use. This is my new Sensitive toothpaste. ❤️",,,,,"","Great tasting product @ reasonable price ❤️","https://www.amazon.com/gp/customer-reviews/R1QS3V09W3ML8D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on January 27, 2022",""
"United States",,"2022-12-24","true","200","B095Z5PKDJ","5","I really like the flavor and very good to clean the teeth",,,,,"","Great product","https://www.amazon.com/gp/customer-reviews/R2SYDS8V59O1IR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on December 24, 2022",""
"United States",,"2022-04-04","true","31","B095Z5PKDJ","5","Works great for teeth sensitive to sugar and cold. I use it typically once a day for sensitivity issues and that works for me. The label warns against extensive daily use so don't get this to be using it after every meal or something like that.My main confusion is that I received 6 tubes of 2.4oz instead of 4 tubes of 3.4oz. I technically get 0.2oz for free because of this so I'm not complaining at all, I'm just voicing my confusion.",,,,,"2 people found this helpful","Good for Sensitive Teeth","https://www.amazon.com/gp/customer-reviews/R3DPULQVC6JMEJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on April 4, 2022",""
"United States",,"2022-10-16","true","32","B095Z5PKDJ","5","Es buena para sensabilidad",,,,,"","La crema la puedo recomendar por es muy buena para la sensibilidad","https://www.amazon.com/gp/customer-reviews/R2HBNIP46ZE4V9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on October 16, 2022",""
"United States",,"2022-05-29","true","33","B095Z5PKDJ","4","Husband has dental issues dentist recommended this toothpaste we shall see. Gum care !!",,,,,"One person found this helpful","Dentist recommended .","https://www.amazon.com/gp/customer-reviews/R16M7IVR7PVSDM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on May 29, 2022",""
"United States",,"2022-05-03","true","34","B095Z5PKDJ","4","The flavor is kind of awful—not minty. But I feel that it really does clean my gum-line better than regular Sensodyne.",,,,,"","Tastes bad, works great","https://www.amazon.com/gp/customer-reviews/R1M8YX25MTEC3H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on May 3, 2022",""
"United States",,"2022-03-13","true","35","B095Z5PKDJ","4","Good Toothpaste for sensitive gums. Flavor is okay.  Don’t notice a difference in teeth whitening.  Compared to store prices this is a good value.",,,,,"","Good Toothpaste","https://www.amazon.com/gp/customer-reviews/R1GMNR8SP2VLG7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on March 13, 2022",""
"United States",,"2022-05-06","true","36","B095Z5PKDJ","4","Sensodyne Sensitivity & Gum Sensitive Toothpaste for Gingivitis & Treatment, Clean & Fresh",,,,,"","Sensodyne Sensitivity & Gum Sensitive Toothpaste for Gingivitis & Treatment, Clean & Fresh","https://www.amazon.com/gp/customer-reviews/R2P0Z0S5B68QV9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on May 6, 2022",""
"United States",,"2022-01-05","true","37","B095Z5PKDJ","5","The flavor is a mild mint, and the cost is average for this type of toothpaste.  I don’t drink coffee or tea but I drink one 12 ounce can of zero calorie Diet Pepsi and I haven’t noticed any change in the color of my teeth.  I know the toothpaste does clean my teeth well became after I am finished brushing with the toothpaste and I brush with water afterwards to remove the toothpaste I hear squeaking so I know my teeth are clean.",,,,,"11 people found this helpful","This toothpaste honestly does what it states it is going to do.","https://www.amazon.com/gp/customer-reviews/R7DTBJIQQYB29/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on January 5, 2022",""
